,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-07-18 13:04:34,Other,DRS DISABLED IN ZONE 1,,,,,,1
1,2021-07-18 13:04:49,Other,DRS ENABLED IN ZONE 1,,,,,,1
2,2021-07-18 13:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
3,2021-07-18 13:22:27,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1
4,2021-07-18 13:22:34,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
5,2021-07-18 13:23:51,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,1
6,2021-07-18 13:25:39,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
7,2021-07-18 13:30:00,Other,PIT EXIT CLOSED,,,,,,1
8,2021-07-18 13:45:03,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
9,2021-07-18 13:57:05,Drs,DRS DISABLED,DISABLED,,,,,1
10,2021-07-18 14:03:23,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
11,2021-07-18 14:04:18,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1
12,2021-07-18 14:04:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,1
13,2021-07-18 14:04:31,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1
14,2021-07-18 14:05:20,CarEvent,CAR 33 (VER) STOPPED AT TURN 9,,,,,33,1
15,2021-07-18 14:06:39,Flag,RED FLAG,,RED,Track,,,2
16,2021-07-18 14:06:39,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,2
17,2021-07-18 14:14:50,Other,TURN 9 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,3
18,2021-07-18 14:26:05,Other,APPROXIMATLY 15 MIN UNTIL RESUMPTION,,,,,,3
19,2021-07-18 14:31:22,Other,RACE WILL RESUME AT 15:42,,,,,,3
20,2021-07-18 14:31:42,Flag,TRACK CLEAR,,CLEAR,Track,,,3
21,2021-07-18 14:42:53,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,3
22,2021-07-18 14:47:07,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,4
23,2021-07-18 14:47:16,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,4
24,2021-07-18 14:47:26,CarEvent,CAR 5 (VET) SPUN AND CONTINUED AT TURN 7,,,,,5,4
25,2021-07-18 14:47:56,Other,10 SECOND TIME PENALTY FOR CAR 44 (HAM) - CAUSING A COLLISION,,,,,,5
26,2021-07-18 14:49:27,Drs,DRS ENABLED,ENABLED,,,,,6
27,2021-07-18 14:51:10,Other,CAR 55 (SAI) TIME 1:34.026 DELETED - TRACK LIMITS AT TURN 9,,,,,,7
28,2021-07-18 14:52:49,Other,CAR 7 (RAI) TIME 1:35.251 DELETED - TRACK LIMITS AT TURN 9,,,,,,8
29,2021-07-18 14:52:49,Other,CAR 99 (GIO) TIME 1:35.379 DELETED - TRACK LIMITS AT TURN 9,,,,,,8
30,2021-07-18 14:54:22,Other,CAR 10 (GAS) TIME 1:35.158 DELETED - TRACK LIMITS AT TURN 9,,,,,,9
31,2021-07-18 14:55:48,Other,CAR 3 (RIC) TIME 1:33.710 DELETED - TRACK LIMITS AT TURN 9,,,,,,10
32,2021-07-18 15:01:38,Other,CAR 10 (GAS) TIME 1:34.825 DELETED - TRACK LIMITS AT TURN 9,,,,,,13
33,2021-07-18 15:07:00,Other,CAR 10 (GAS) TIME 1:34.314 DELETED - TRACK LIMITS AT TURN 9,,,,,,17
34,2021-07-18 15:07:05,Flag,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,,BLACK AND WHITE,Driver,,10,17
35,2021-07-18 15:08:38,Other,CAR 11 (PER) TIME 1:34.081 DELETED - TRACK LIMITS AT TURN 9,,,,,,18
36,2021-07-18 15:22:12,Other,CAR 55 (SAI) TIME 1:31.819 DELETED - TRACK LIMITS AT TURN 9,,,,,,27
37,2021-07-18 15:24:43,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:24:43,,BLUE,Driver,,9,28
38,2021-07-18 15:27:38,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:27:37,,BLUE,Driver,,47,30
39,2021-07-18 15:27:47,Other,CAR 10 (GAS) TIME 1:53.002 DELETED - TRACK LIMITS AT TURN 15,,,,,,30
40,2021-07-18 15:28:39,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:28:39,,BLUE,Driver,,9,31
41,2021-07-18 15:29:22,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:29:22,,BLUE,Driver,,47,31
42,2021-07-18 15:29:35,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:29:35,,BLUE,Driver,,47,31
43,2021-07-18 15:30:30,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:30:29,,BLUE,Driver,,9,32
44,2021-07-18 15:30:40,Other,CAR 4 (NOR) TIME 1:33.668 DELETED - TRACK LIMITS AT TURN 9,,,,,,32
45,2021-07-18 15:31:05,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:31:04,,BLUE,Driver,,9,32
46,2021-07-18 15:32:36,Other,CAR 5 (VET) TIME 1:33.713 DELETED - TRACK LIMITS AT TURN 15,,,,,,33
47,2021-07-18 15:40:33,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 16:40:32,,BLUE,Driver,,47,39
48,2021-07-18 15:41:58,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:41:57,,BLUE,Driver,,9,39
49,2021-07-18 15:53:55,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,47
50,2021-07-18 15:53:56,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,47
51,2021-07-18 15:54:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,47
52,2021-07-18 15:54:05,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,47
53,2021-07-18 15:54:09,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:54:08,,BLUE,Driver,,7,47
54,2021-07-18 15:54:23,CarEvent,CAR 7 (RAI) SPUN AND CONTINUED AT TURN 17,,,,,7,48
55,2021-07-18 15:54:26,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 16:54:26,,BLUE,Driver,,7,48
56,2021-07-18 15:55:57,Other,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) NOTED,,,,,,49
57,2021-07-18 15:56:21,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:56:20,,BLUE,Driver,,6,49
58,2021-07-18 15:56:37,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:56:37,,BLUE,Driver,,6,49
59,2021-07-18 15:57:03,Other,TURN 17 INCIDENT INVOLVING CARS 7 (RAI) AND 11 (PER) WILL BE INVESTIGATED AFTER THE RACE,,,,,,49
60,2021-07-18 15:57:29,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:57:29,,BLUE,Driver,,11,50
61,2021-07-18 15:58:50,Other,CAR 16 (LEC) TIME 1:32.956 DELETED - TRACK LIMITS AT TURN 9,,,,,,51
62,2021-07-18 15:59:12,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:59:12,,BLUE,Driver,,99,51
63,2021-07-18 15:59:51,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:59:51,,BLUE,Driver,,99,51
64,2021-07-18 16:00:54,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 17:00:53,,BLUE,Driver,,63,52
65,2021-07-18 16:01:48,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,52
